Race Title,Geelong
Race,Race 1 Geelong
Number,Name,WinPrice,FixedPrice
16(16),Miss Gunpowder,TF,26.00
Race,Race 8 Caulfield
Number,Name,WinPrice,FixedPrice
2(2),Oregon's Day,TF,14.00
3(10),Osborne Bulls,TF,3.10
4(6),Land Of Plenty,TF,16.00
5(3),Inn Keeper,TF,5.50
6(7),Bella Martini,TF,8.50
7(9),Brave Song,TF,4.20
8(4),Muraaqeb,TF,13.00
9(8),Sheriff John Stone,TF,26.00
10(1),Ardrossan,TF,7.00
11(5),Toosbuy,TF,61.00
Race,Race 9 Caulfield
Number,Name,WinPrice,FixedPrice
1(10),Jacquinot Bay,TF,34.00
2(11),Shoreham,TF,41.00
3(9),Mask Of Time,TF,8.50
4(7),Harrison,TF,15.00
5(6),Plein Ciel,TF,4.20
6(15),Yogi,TF,26.00
7(12),Call Me Handsome,TF,3.40
8(1),Hi World,TF,101.00
9(2),Tried And Tired,TF,67.00
10(4),Etah James,TF,19.00
11(8),Kenjorwood,TF,21.00
12(5),Sakhee's Soldier,TF,101.00
13(3),Another Coldie,TF,5.50
14(13),Miss Admiration,TF,19.00
15(14),Netherfield,TF,13.00
Race Title,Randwick
Race,Race 1 Randwick
Number,Name,WinPrice,FixedPrice
1(1),Cisco Bay,TF,6.50
2(10),Evopex,TF,5.50
3(11),Fui San,TF,12.00
4(4),Kruanui,TF,34.00
5(13),Gronky,TF,34.00
6(8),Wallander,TF,6.00
7(7),Butchoy,TF,7.50
8(9),Shadow Vision,TF,34.00
9(2),Exorbitance,TF,31.00
10(12),Not For Export,TF,61.00
11(14),Biodynamic,TF,17.00
12(5),Not Bossy,TF,34.00
13(3),Constitutional,TF,51.00
14(6),Panzerfaust,TF,3.30
Race,Race 2 Randwick
Number,Name,WinPrice,FixedPrice
1(8),Sayed,TF,23.00
2(5),Red Alto,TF,8.00
3(6),Just Shine,TF,3.90
4(1),Exoteric,TF,9.00
5(7),Vaucluse Bay,TF,6.00
6(2),Reneged,TF,21.00
7(9),Follow Suit,TF,9.50
8(11),Raqeeq,TF,3.30
9(3),Screamarr,TF,12.00
10(4),Segenhoe,TF,41.00
11(10),Praise Songs,TF,101.00
Race,Race 3 Randwick
Number,Name,WinPrice,FixedPrice
1(1),Burradoo,TF,19.00
2(6),Sharpe Hussler,TF,6.50
3(3),Brook Magic,TF,3.50
5(9),Invincible Gangsta,TF,26.00
6(8),Prince Mayted,TF,21.00
7(10),Gwenneth,TF,10.00
8(2),Almanzora,TF,2.25
9(5),Lightz,TF,19.00
10(4),Leami Astray,TF,15.00
Race,Race 4 Randwick
Number,Name,WinPrice,FixedPrice
1(1),Fiesta,TF,4.40
2(7),Meryl,TF,31.00
3(9),Oohood,TF,2.40
4(2),Outback Barbie,TF,4.50
5(5),Secret Lady,TF,26.00
6(4),Futooh,TF,7.00
7(3),Laburnum,TF,23.00
8(8),Adamina,TF,18.00
9(6),Ready To Prophet,TF,16.00
Race,Race 5 Randwick
Number,Name,WinPrice,FixedPrice
1(1),Encryption,TF,7.50
2(4),Irukandji,TF,12.00
3(6),Spin,TF,5.50
4(5),The Enzo,TF,26.00
5(7),Master Ash,TF,9.00
6(8),Military Zone,TF,4.60
7(3),Smart Elissim,TF,4.80
8(2),Momentum Factor,TF,61.00
9(9),Danawi,TF,5.00
10(10),Altair,TF,15.00
Race,Race 6 Randwick
Number,Name,WinPrice,FixedPrice
1(8),Classic Uniform,TF,126.00
2(1),Religify,TF,126.00
3(11),Libran,TF,201.00
4(2),Cabeza De Vaca,TF,126.00
5(4),Invictus Prince,TF,201.00
6(3),Oriental Runner,TF,351.00
7(7),Kementari,TF,6.50
8(10),Ace High,TF,34.00
9(9),D'argento,TF,21.00
10(5),Winx,TF,1.20
11(6),Unforgotten,TF,51.00
Race,Race 7 Randwick
Number,Name,WinPrice,FixedPrice
1(1),Le Romain,TF,2.40
2(4),Takedown,TF,15.00
3(2),Boss Lane,TF,21.00
6(6),No Doubt,TF,14.00
7(11),Siege Of Quebec,TF,2.80
8(3),Super Tycoon,TF,21.00
9(7),Condor Heroes,TF,6.00
10(5),Three Sheets,TF,71.00
11(9),Radiant Choice,TF,71.00
Race,Race 8 Randwick
Number,Name,WinPrice,FixedPrice
1(3),Egyptian Symbol,TF,4.40
2(7),I Am Coldplay,TF,7.00
3(4),Zestful,TF,9.50
4(1),Payroll,TF,12.00
5(6),Luvaluva,TF,8.00
6(10),Nettoyer,TF,8.00
7(8),Maryore,TF,31.00
8(2),Insensata,TF,7.50
9(5),Sharpness,TF,8.50
10(11),Smart Amelia,TF,7.00
11(9),Heavenly Anna,TF,34.00
Race,Race 9 Randwick
Number,Name,WinPrice,FixedPrice
1(5),Best Of Days,TF,9.00
2(6),Lofty's Menu,TF,51.00
3(2),Souchez,TF,7.50
4(14),Goathland,TF,26.00
5(8),Kaonic,TF,3.40
6(10),Goodfella,TF,26.00
7(15),The Pinnacle,TF,14.00
8(9),Onslaught,TF,7.50
9(1),Shogun Sun,TF,4.80
10(17),Sure And Fast,TF,101.00
11(7),Best Guess,TF,19.00
12(11),Il Mio Destino,TF,34.00
13(13),Milseain,TF,10.00
14(12),Gamblestown,TF,101.00
15(16),Opposition,TF,26.00
16(3),Nettoyer,TF,16.00
17(4),Insensata,TF,13.00
18(18),Heavenly Anna,TF,34.00
Race Title,Gold Coast
Race,Race 1 Gold Coast
Number,Name,WinPrice,FixedPrice
1(4),Prue's Angel,TF,3.00
2(8),Awake The Stars,TF,3.20
3(5),Deer Mountain,TF,8.50
4(2),Sister Patti,TF,9.00
5(1),Sornja,TF,6.50
6(3),Tedder Avenue,TF,4.60
7(7),Akage,TF,51.00
8(6),Casino Evil,TF,101.00
Race,Race 2 Gold Coast
Number,Name,WinPrice,FixedPrice
1(8),A Man To Match,TF,3.80
2(6),Inflammable,TF,7.00
3(3),Mywifesaidno,TF,6.50
4(4),Sugar Sizzle,TF,7.50
5(1),Red Doulton,TF,8.00
6(7),Trail Of Glory,TF,4.60
7(5),Beach Baby,TF,13.00
8(2),Mystic Mist,TF,19.00
9(9),Love Struck,TF,10.00
Race,Race 3 Gold Coast
Number,Name,WinPrice,FixedPrice
1(2),Destiva,TF,34.00
2(7),Always Sacred,TF,21.00
3(1),Azzie's Ready,TF,21.00
4(5),Killerman's Run,TF,3.80
5(11),Upstart,TF,51.00
6(3),Alaskan Wolf,TF,61.00
7(6),Darktown Strutter,TF,3.60
8(8),Colinelle,TF,5.50
9(10),Girl In A Million,TF,10.00
10(9),Rebel Miss,TF,4.40
11(4),Blue Seattle,TF,14.00
Race,Race 4 Gold Coast
Number,Name,WinPrice,FixedPrice
1(2),Chatelard,TF,6.50
2(4),Fuerza,TF,26.00
3(12),Colour Of Money,TF,19.00
4(3),Occhilupo,TF,6.50
5(7),Duke Of Christophe,TF,16.00
6(8),Meteorologist,TF,13.00
7(1),Shotacross The Bow,TF,6.50
8(5),Sir Barnabus,TF,7.00
9(11),Clever Blaze,TF,14.00
10(6),Antigone,TF,16.00
11(9),Bronzed Venom,TF,14.00
12(10),Fighting Teo,TF,4.20
Race,Race 5 Gold Coast
Number,Name,WinPrice,FixedPrice
1(9),Belflyer,TF,5.00
2(2),Desmon's Pride,TF,10.00
3(6),Reach For Heaven,TF,3.30
6(7),On The Spot,TF,4.00
7(5),El Shaday,TF,6.50
8(1),Looks Like Elvis,TF,4.60
9(3),Spiral,TF,51.00
10(4),Snapper,TF,26.00
Race,Race 6 Gold Coast
Number,Name,WinPrice,FixedPrice
1(10),Lordag,TF,4.20
2(8),Hippopus,TF,101.00
3(11),Magstock,TF,7.50
4(2),Veladero,TF,7.00
5(9),Gold Ambition,TF,3.60
6(7),Don't Tell Mama,TF,12.00
7(4),Monteux,TF,13.00
8(1),American Diva,TF,14.00
9(3),Lord Coconuts,TF,8.00
10(6),Reiby The Red,TF,23.00
11(5),Anzio,TF,14.00
Race,Race 7 Gold Coast
Number,Name,WinPrice,FixedPrice
1(4),Mishani Sleuth,TF,8.50
